,N,3R,B2,BT,E2,ET
30,36.0,6.982997070064112e-05,6.163701842099023e-05,1.0431382901817442e-19,3.856475959715697e-07,1.3135711654202157e-16
31,37.0,6.699132550984142e-05,5.524956744798233e-05,1.2486712971154706e-19,3.451906393308417e-07,1.4337255106856962e-16
32,38.0,5.638072531429297e-05,4.966826404243877e-05,1.1292272478750606e-19,3.1074829237002984e-07,1.8698493046318425e-16
33,39.0,5.449211613034298e-05,4.4774075756141284e-05,1.5624858634571237e-19,2.7988116658460825e-07,1.5656991372918875e-16
34,40.0,4.6629174162649e-05,4.046797448363431e-05,1.3825779162833765e-19,2.531663102184334e-07,1.5170156797417179e-16
35,41.0,4.4834041203668994e-05,3.6667185729651236e-05,1.333515986602548e-19,2.2928919550287512e-07,1.441936001494868e-16
36,42.0,3.88037982168854e-05,3.330221086464136e-05,1.2214459476289935e-19,2.0831518266986462e-07,1.5967716566967468e-16
37,43.0,3.721359195253495e-05,3.0314448977205123e-05,1.0880185349105595e-19,1.8961374885205075e-07,1.6435496374719796e-16
38,44.0,3.24914422451031e-05,2.765428748735003e-05,9.268724034824337e-20,1.7296410296443263e-07,1.8183056070920532e-16
39,45.0,3.12360016794358e-05,2.5279560844456935e-05,1.4522695279189028e-19,1.581498874994283e-07,1.6290980909951082e-16
40,46.0,2.737024571352331e-05,2.3154300150581136e-05,1.4466055665286025e-19,1.447990138058331e-07,1.4978960101260603e-16
41,47.0,2.637296559499906e-05,2.124771414177366e-05,1.420026933156393e-19,1.3294238042331102e-07,1.129415709891283e-16
42,48.0,2.3283066411239867e-05,1.9533354973424164e-05,1.3223919343777837e-19,1.2213718231004109e-07,1.627748861624904e-16
43,49.0,2.2486391832562376e-05,1.7988431788906748e-05,1.2024279695283123e-19,1.1255762079303554e-07,1.6079824546707465e-16
44,50.0,2.001796054009287e-05,1.6593244343642472e-05,1.4412402030314002e-19,1.0373791725859504e-07,1.437044927499187e-16
45,51.0,1.9274678392017856e-05,1.5330713178768215e-05,1.4065290089564505e-19,9.593064423875283e-08,1.7558122711749566e-16
46,52.0,1.7281654732610544e-05,1.4185988754675805e-05,1.2984379596811187e-19,8.867476912797724e-08,1.4798525652755993e-16
47,53.0,1.6634454852186654e-05,1.3146124807218856e-05,1.1137208308708425e-19,8.226076528336146e-08,1.816550055032317e-16
48,54.0,1.4980286085863418e-05,1.2199804751345821e-05,1.4768714632385512e-19,7.624781461973635e-08,1.7186612215696145e-16
49,55.0,1.4439463068438348e-05,1.1337111198017403e-05,1.2070433498390526e-19,7.093928130172147e-08,1.5530506174017815e-16
50,56.0,1.3037303236895784e-05,1.054933198704241e-05,1.2799601204045289e-19,6.592253980990709e-08,1.905098103081672e-16
51,57.0,1.2592188238003341e-05,9.828795575115492e-06,1.3869495478660204e-19,6.149866423907406e-08,1.9940189850175509e-16
52,58.0,1.1443469044279784e-05,9.168731252857746e-06,1.4879083289222738e-19,5.7303506763450095e-08,1.5439038936193583e-16
53,59.0,1.1048036712127975e-05,8.563150608416994e-06,1.3294025495536714e-19,5.359376027715064e-08,1.725314806276594e-16
54,60.0,1.0093668544823522e-05,8.006745484445306e-06,1.320950870381558e-19,5.0068260012044635e-08,1.690198906760069e-16
55,61.0,9.725607456572744e-06,7.4948015012576234e-06,1.2996806393508833e-19,4.691900894944456e-08,1.3013269878803065e-16
56,62.0,8.929551745324806e-06,7.0231231196056974e-06,1.472174021513613e-19,4.393732510796132e-08,1.600422303643119e-16
57,63.0,8.608936337843133e-06,6.587969463788457e-06,1.3493098751685264e-19,4.125022069073526e-08,1.6532190078991667e-16
58,64.0,7.922882257813984e-06,6.185998849305187e-06,1.5304267771173272e-19,3.871488801938938e-08,1.7840546748248975e-16
59,65.0,7.644920890817148e-06,5.814220927218248e-06,1.3093286033256414e-19,3.641108623668561e-08,1.6172960406799155e-16
60,66.0,7.051308152372647e-06,5.46995497070768e-06,1.2219795267109447e-19,3.424439242946076e-08,1.733672128415609e-16
61,67.0,6.816236418037802e-06,5.150793945426417e-06,1.410273026989357e-19,3.226026629083304e-08,1.5410558401513367e-16
